University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Public,Sciences,Female,23,3rd Year 1st Semester,2.67,100,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
Public,Engineering and Technology ,Male,26,4th Year 2nd Semester,2.67,160,Only Lecture Materials,3,Yes,Yes,No,No,Lack of preparation,0,Personal issues,0,0,Family problems,IT,60-70%,8-12h,No,0,No,Yes,more than 12,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Rarely,3,Yes
Public,Life Sciences,Female,21,1st Year 2nd Semester,3.45,40,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Life Sciences,Female,25,4th Year 1st Semester,3.67,140,Group Study,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,1-3h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,1-3h,Yes,University dorm,Yes,4,Yes,Always,4,No
Private,Sciences,Male,21,2nd Year 1st Semester,3,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,No,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Sometimes,4,No
Public,Social Sciences,Female,22,2nd Year 2nd Semester,3,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,50-60%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Female,24,3rd Year 2nd Semester,3.25,140,Group Study,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,70-80%,more than 12,Yes,3-7h,No,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Business,3-7h,Yes,With family,Yes,4,Yes,Sometimes,4,No
Private,Sciences,Male,23,3rd Year 1st Semester,3.33,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,Yes,Other,3-7h,Yes,University dorm,Yes,3,Yes,Sometimes,3,No
Public,Engineering and Technology ,Male,25,4th Year 1st Semester,2.75,140,Lecture Materials and Self-Sourced Resources,3,Yes,No,Yes,No,Lack of preparationLack of preparation,0,0,Poor time management,0,Family problems,IT,Below 50%,3-7h,Yes,1-3h,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
National,Sciences,Female,21,2nd Year 1st Semester,2.89,60,Only Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,1-3h,No,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Female,24,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,No,No,0,Regular,60-70%,50-60%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,2.5,60,Only Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
Public,Life Sciences,Female,24,3rd Year 2nd Semester,3.5,120,Group Study,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",80-90%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
National,Social Sciences,Female,25,4th Year 1st Semester,2.9,140,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,Personal issues,Poor time management,0,Family problems,Social Sciences,Below 50%,1-3h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
Public,Engineering and Technology ,Male,23,2nd Year 2nd Semester,3.45,80,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,60-70%,70-80%,3,Yes,Tuition,3-7h,Yes,University dorm,Yes,4,Yes,Sometimes,4,No
Private,Engineering and Technology ,Male,24,4th Year 1st Semester,3,140,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,60-70%,50-60%,60-70%,3,Yes,Business,3-7h,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Private,Life Sciences,Female,22,2nd Year 2nd Semester,3.56,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,University dorm,Yes,4,Yes,Always,4,No
Public,Sciences,Male,23,3rd Year 1st Semester,2.69,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,0,0,0,0,Health issues,0,Math,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,3,Yes
Public,Business Studies,Male,24,4th Year 1st Semester,3.25,140,Group Study,0,No,No,No,No,0,Other,0,0,0,0,Business,70-80%,more than 12,Yes,3-7h,No,No,0,Regular,50-60%,60-70%,60-70%,4,Yes,Business,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
National,Social Sciences,Male,26,4th Year 2nd Semester,2.45,160,Lecture Materials and Self-Sourced Resources,4,Yes,Yes,Yes,No,0,0,Personal issues,Poor time management,0,0,Social Sciences,Below 50%,1-3h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,2,Yes,Business,3-7h,Yes,With family,Yes,3,Yes,Rarely,2,Yes
Public,Sciences,Female,21,1st Year 2nd Semester,3,40,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Yes,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Business Studies,Female,24,3rd Year 2nd Semester,2.9,120,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,60-70%,8-12h,Yes,3-7h,Maybe,No,0,Irregular,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Female,25,4th Year 2nd Semester,3.45,160,Group Study,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Only before exams,70-80%,70-80%,70-80%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Private,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.33,80,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,With family,Yes,4,Yes,Sometimes,4,No
Public,Social Sciences,Female,25,4th Year 1st Semester,3,140,Group Study,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,50-60%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,No
Public,Social Sciences,Female,22,2nd Year 2nd Semester,3.25,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,60-70%,more than 12,Yes,more than 12,Maybe,Yes,3-7h,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
Public,Sciences,Male,24,3rd Year 2nd Semester,3,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,more than 12,Yes,1-3h,No,No,0,Regular,50-60%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Social Sciences,Male,22,2nd Year 2nd Semester,2.69,80,Group Study,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,1-3h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,3,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Public,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.45,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Male,23,3rd Year 1st Semester,2.9,100,Only Lecture Materials,2,Yes,No,No,No,0,0,0,Poor time management,Health issues,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,8-12h,Yes,more than 12,Maybe,Yes,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,25,4th Year 2nd Semester,3.25,160,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,Health issues,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,8-12h,Maybe,No,0,Irregular,50-60%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,Yes
Public,Life Sciences,Female,21,2nd Year 1st Semester,3,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,Personal issues,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Female,23,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,No,0,No,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Business,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Private,Engineering and Technology ,Male,24,3rd Year 2nd Semester,3.45,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,University dorm,Yes,4,Yes,Sometimes,4,No
National,Sciences,Female,23,2nd Year 2nd Semester,2.69,80,Group Study,2,Yes,No,No,No,0,0,0,0,0,Family problems,Math,Below 50%,1-3h,Yes,3-7h,Maybe,Yes,8-12h,Irregular,Below 50%,50-60%,50-60%,4,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
National,Social Sciences,Female,24,4th Year 1st Semester,3,140,Group Study,1,Yes,No,No,No,0,0,Personal issues,0,0,Family problems,Social Sciences,50-60%,8-12h,No,0,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Life Sciences,Female,24,4th Year 1st Semester,3.25,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Sciences,Female,22,2nd Year 1st Semester,3.5,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,No,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Engineering and Technology ,Male,24,3rd Year 2nd Semester,2.96,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,0,0,0,0,0,Family problems,IT,50-60%,8-12h,No,0,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
National,Social Sciences,Female,22,2nd Year 1st Semester,3,60,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,3-7h,Yes,more than 12,No,No,0,Only before exams,50-60%,60-70%,60-70%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,4,Yes
Public,Business Studies,Female,25,4th Year 1st Semester,2.9,140,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Business,50-60%,3-7h,Yes,more than 12,Maybe,Yes,8-12h,Only before exams,Below 50%,Below 50%,50-60%,4,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,Yes
Public,Business Studies,Male,23,3rd Year 2nd Semester,2.67,120,Group Study,3,Yes,Yes,No,No,Lack of preparation,0,0,0,Health issues,Family problems,Business,Below 50%,1-3h,Yes,more than 12,Maybe,Yes,3-7h,Only before exams,Below 50%,Below 50%,Below 50%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Sciences,Male,21,2nd Year 1st Semester,3,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,4,No
Public,Sciences,Male,22,2nd Year 2nd Semester,2.9,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,0,0,Family problems,Math,50-60%,more than 12,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,3.5,60,Group Study,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Life Sciences,Female,24,3rd Year 1st Semester,3.3,100,Group Study,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,more than 12,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,University dorm,Yes,4,Yes,Sometimes,4,No
National,Social Sciences,Female,25,4th Year 1st Semester,2.95,140,Only Lecture Materials,2,Yes,Yes,No,No,0,0,0,0,0,Family problems,Social Sciences,Below 50%,1-3h,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
Private,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.45,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,60-70%,70-80%,4,Yes,Tuition,3-7h,Yes,With family,Yes,4,Yes,Always,4,No
Public,Business Studies,Female,23,3rd Year 1st Semester,3,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Business,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Sciences,Male,21,2nd Year 1st Semester,3.5,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,70-80%,70-80%,4,Yes,Tuition,1-3h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Life Sciences,Female,23,2nd Year 2nd Semester,3.25,80,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,8-12h,Yes,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Business Studies,Female,23,3rd Year 1st Semester,2.9,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,0,0,Family problems,Business,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Private,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,60-70%,8-12h,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,8-12h,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Business Studies,Female,23,3rd Year 1st Semester,2.67,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,0,Health issues,0,Business,50-60%,3-7h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,50-60%,Below 50%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Social Sciences,Female,25,4th Year 2nd Semester,2.9,160,Group Study,2,Yes,No,Yes,No,0,0,Personal issues,Poor time management,0,"0, 0",Social Sciences,Below 50%,3-7h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,3,Yes
Public,Sciences,Female,22,2nd Year 1st Semester,3.5,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,1-3h,No,No,0,Regular,70-80%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Social Sciences,Male,25,3rd Year 2nd Semester,2.69,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,0,0,0,Poor time management,0,Family problems,Social Sciences,Below 50%,1-3h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Public,Business Studies,Male,21,1st Year 2nd Semester,3.25,40,Only Lecture Materials,0,No,No,No,No,0,Other,0,0,0,0,Business,70-80%,more than 12,Yes,3-7h,No,No,more than 12,Only before exams,60-70%,50-60%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
Public,Life Sciences,Female,23,3rd Year 1st Semester,3,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,0,Health issues,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,3-7h,Maybe,Yes,more than 12,Irregular,60-70%,50-60%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
National,Sciences,Female,25,4th Year 1st Semester,2.65,140,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,0,0,0,0,Health issues,Family problems,0,Below 50%,1-3h,Yes,more than 12,Maybe,Yes,3-7h,Only before exams,Below 50%,Below 50%,Below 50%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Sciences,Male,22,2nd Year 2nd Semester,3.45,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,50-60%,8-12h,Yes,3-7h,Maybe,No,0,Regular,50-60%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Female,23,3rd Year 2nd Semester,3.12,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,Below 50%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,4,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,2.89,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,8-12h,Yes,more than 12,Maybe,Yes,8-12h,Irregular,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Female,22,2nd Year 1st Semester,2.69,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,25,4th Year 1st Semester,3.45,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Female,22,2nd Year 2nd Semester,3.25,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,No,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Life Sciences,Female,24,4th Year 1st Semester,2.89,140,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
Private,Engineering and Technology ,Male,23,3rd Year 1st Semester,3.45,100,Group Study,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,No,0,No,No,0,Regular,60-70%,70-80%,70-80%,4,Yes,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,4,No
National,Sciences,Female,24,3rd Year 2nd Semester,2.89,120,Lecture Materials and Self-Sourced Resources,2,No,No,No,No,0,Other,0,0,0,0,Math,50-60%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
Public,Social Sciences,Female,24,3rd Year 2nd Semester,3,140,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,60-70%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,3,Yes,Business,3-7h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Business Studies,Female,22,2nd Year 2nd Semester,2.67,80,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,0,0,0,Poor time management,Health issues,0,Business,Below 50%,3-7h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
Public,Sciences,Female,23,3rd Year 2nd Semester,2.69,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,1-3h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Engineering and Technology ,Male,24,4th Year 1st Semester,3,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,8-12h,Maybe,Yes,8-12h,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,No
